DateTime,true_ivix,calculated_ivix
2015/9/16,41.34,38.09123232712422
2015/9/17,41.06,38.01959590884602
2015/9/18,40.19,37.54878205862447
2015/9/21,39.81,37.08722002312244
2015/9/22,37.17,34.32136884842794
2015/9/23,38.93,35.40401225124903
2015/9/24,37.63,36.99079653085772
2015/9/25,34.91,33.27719439207853
2015/9/28,31.93,30.624530466214516
2015/9/29,31.1,29.915106097310336
2015/9/30,30.65,24.811890603601928
2015/10/8,31.7,28.40851575358058
2015/10/9,30.07,26.88187562094254
2015/10/12,30.07,26.14778165186575
2015/10/13,31.95,28.926560762111347
2015/10/14,31.71,28.539743241994493
2015/10/15,29.66,26.490336351844903
2015/10/16,29.26,26.295523287847157
2015/10/19,30.34,27.334809962519095
2015/10/20,30.99,27.9243064443205
2015/10/21,32.76,29.54146272831059
2015/10/22,31.8,28.810996780157332
2015/10/23,30.64,27.888623097650996
2015/10/26,32.39,29.483258014236473
2015/10/27,30.86,27.677165000051428
2015/10/28,31.72,28.70777164909828
2015/10/29,31.76,34.5933604110052
2015/10/30,28.96,33.336156069277806
2015/11/2,29.84,27.115255749236017
2015/11/3,30.01,27.260595319094065
2015/11/4,30.25,27.028894217139538
2015/11/5,32.16,29.499518601360702
2015/11/6,32.45,29.808122776918726
2015/11/9,41.93,39.38894794767947
2015/11/10,43.1,40.54928421516626
2015/11/11,39.62,37.170458909290076
2015/11/12,38.7,36.1932893748834
2015/11/13,37.74,35.25126595734067
2015/11/16,38.37,35.96435217084141
2015/11/17,37.72,35.32157558581902
2015/11/18,37.03,34.5489989981398
2015/11/19,35.99,33.49035101407603
2015/11/20,34.04,31.570345375221738
2015/11/23,33.22,30.747077710696402
2015/11/24,31.83,29.316598493427243
2015/11/25,32.28,29.812518509557144
2015/11/26,29.7,26.57381696182461
2015/11/27,34.58,31.70767108928707
2015/11/30,34.53,5.300620634562235
2015/12/1,33.73,31.04230619734818
2015/12/2,32.45,29.455368231255797
2015/12/3,32.53,29.819412987077733
2015/12/4,32.49,29.58915751793886
2015/12/7,31.6,28.742498650920105
2015/12/8,31.46,28.44942723266865
2015/12/9,31.12,28.160697810765768
2015/12/10,30.86,27.88464388675047
2015/12/11,30.77,27.882815267905137
2015/12/14,31.09,28.003084482470797
2015/12/15,30.47,27.514842290081315
2015/12/16,30.28,27.41921813660185
2015/12/17,29.27,26.30364831047311
2015/12/18,26.08,23.69624414296195
2015/12/21,26.61,23.886329770723847
2015/12/22,27.69,25.194361655491974
2015/12/23,28.04,24.171789274720425
2015/12/24,27.19,25.96865054521706
2015/12/25,26.28,24.53381135994436
2015/12/28,28.13,35.09824537948466
