Date,Adj Close
02/5/15,1598.354004
02/5/16,1549.500977
02/5/17,1567.496948
02/5/20,1541.530029
02/5/21,1588.108032
02/5/22,1564.489014
02/5/23,1571.610962
02/5/24,1549.465942
02/5/27,1555.047974
02/5/28,1558.524048
02/5/29,1524.80603
02/5/30,1523.521973
02/5/31,1515.733032
02/6/3,1483.348022
02/6/4,1490.514038
02/6/5,1462
02/6/6,1521.262939
02/6/7,1529.506958
02/6/10,1517.22998
02/6/11,1530.963013
02/6/12,1524.842041
02/6/13,1511.71106
02/6/14,1494.245972
02/6/17,1496.241943
02/6/18,1524.067993
02/6/19,1507.667969
02/6/20,1516.151001
02/6/21,1562.722046
02/6/24,1707.312988
02/6/25,1706.590942
02/6/26,1712.910034
02/6/27,1723.545044
02/6/28,1732.755005
02/7/1,1713.704956
02/7/2,1724.948975
02/7/3,1730.918945
02/7/4,1713.13501
02/7/5,1722.187988
02/7/8,1732.93396
02/7/9,1729.985962
02/7/10,1701.823975
02/7/11,1696.939941
02/7/12,1698.297974
02/7/15,1687.944946
02/7/16,1691.623047
02/7/17,1701.718018
02/7/18,1704.911987
02/7/19,1713.860962
02/7/22,1681.009033
02/7/23,1673.860962
02/7/24,1672.400024
02/7/25,1665.109009
02/7/26,1657.499023
02/7/29,1665.67395
02/7/30,1669.001953
02/7/31,1651.593994
02/8/1,1653.008057
02/8/2,1661.43103
02/8/5,1653.957031
02/8/6,1670.619019
02/8/7,1668.064941
02/8/8,1659.802002
02/8/9,1647.046021
02/8/12,1634.56604
02/8/13,1636.631958
02/8/14,1646.722046
02/8/15,1634.365967
02/8/16,1646.791992
02/8/19,1644.301025
02/8/20,1671.350952
02/8/21,1673.54895
02/8/22,1686.110962
02/8/23,1683.207031
02/8/26,1670.685059
02/8/27,1679.69104
02/8/28,1676.77002
02/8/29,1667.317993
02/8/30,1666.618042
02/9/2,1668.774048
02/9/3,1674.069946
02/9/4,1663.972046
02/9/5,1641.807007
02/9/6,1631.384033
02/9/9,1621.582031
02/9/10,1625.110962
02/9/11,1620.35498
02/9/12,1624.557983
02/9/13,1625.759033
02/9/16,1604.083008
02/9/17,1604.880981
02/9/18,1594.583984
02/9/19,1619.354004
02/9/20,1604.912964
02/9/23,1602.590942
02/9/24,1596.732056
02/9/25,1597.837036
02/9/26,1587.649048
02/9/27,1581.618042
02/9/30,1581.619995
02/10/1,1581.619995
02/10/2,1581.619995
02/10/3,1581.619995
02/10/4,1581.619995
02/10/7,1581.619995
02/10/8,1562.993042
02/10/9,1535.365967
02/10/10,1530.406982
02/10/11,1524.051025
02/10/14,1531.676025
02/10/15,1524.728027
02/10/16,1537.387939
02/10/17,1513.097046
02/10/18,1519.53894
02/10/21,1524.925049
02/10/22,1548.104004
02/10/23,1548.964966
02/10/24,1536.52002
02/10/25,1520.312988
02/10/28,1502.715942
02/10/29,1510.881958
02/10/30,1509.707031
02/10/31,1507.495972
02/11/1,1510.76001
02/11/4,1531.842041
02/11/5,1558.239014
02/11/6,1552.561035
02/11/7,1554.237061
02/11/8,1522.187012
02/11/11,1504.402954
02/11/12,1485.912964
02/11/13,1490.463989
02/11/14,1460.795044
02/11/15,1463.69104
02/11/18,1451.290039
02/11/19,1462.17395
02/11/20,1425.843018
02/11/21,1390.629028
02/11/22,1395.496948
02/11/25,1398.437988
02/11/26,1371.166992
02/11/27,1378.751953
02/11/28,1417.525024
02/11/29,1434.182007
02/12/2,1395.675049
02/12/3,1408.843018
02/12/4,1414.453979
02/12/5,1404.880005
02/12/6,1405.525024
02/12/9,1400.866943
02/12/10,1383.839966
02/12/11,1379.194946
02/12/12,1383.910034
02/12/13,1396.897949
02/12/16,1408.515015
02/12/17,1416.095947
02/12/18,1411.718994
02/12/19,1413.597046
02/12/20,1427.936035
02/12/23,1430.198975
02/12/24,1430.827026
02/12/25,1421.515015
02/12/26,1384.151978
02/12/27,1382.970947
02/12/30,1366.362061
02/12/31,1357.654053
03/1/1,1357.650024
03/1/2,1320.630005
03/1/3,1319.868042
03/1/6,1334.678955
03/1/7,1332.061035
03/1/8,1372.067017
03/1/9,1397.384033
03/1/10,1384.859009
03/1/13,1386.313965
03/1/14,1466.850952
03/1/15,1459.920044
03/1/16,1485.618042
03/1/17,1478.675049
03/1/20,1482.68103
03/1/21,1454.890991
03/1/22,1460.530029
03/1/23,1450.615967
03/1/24,1479.069946
